clause_text,risk_level,clause_type,risk_reason,simplified_text,tip,source_file
Either party may terminate this Agreement by giving the other party thirty (30) days' prior written notice.,low,termination,Equal notice period for both sides is fair and predictable.,Either you or the landlord can end the agreement by giving 30 days' written notice.,Keep a copy of the notice and note the date it was delivered.,claude_synthetic_batch_3.csv
"The Landlord may terminate this Agreement at any time by giving seven (7) days' notice to the Tenant, without assigning any reason.",high,termination,Very short notice with no reason lets the landlord end the tenancy almost at will.,The landlord can end the agreement with just 7 days' notice and does not have to give a reason.,Ask for at least 30 days' notice and a valid reason before signing.,claude_synthetic_batch_3.csv
"If either party commits a breach and fails to remedy it within fifteen (15) days of receiving written notice of the breach, the other party may terminate this Agreement.",low,termination,A cure period gives the defaulting party a fair chance to fix the problem.,"If someone breaks the agreement, they get 15 days after written notice to fix it before the other side can end the agreement.",Always respond to a breach notice in writing within the cure period.,claude_synthetic_batch_3.csv
This Agreement shall stand terminated on the expiry of the lease period unless renewed in writing by both parties before such expiry.,low,termination,Ends automatically at expiry; renewal needs written agreement from both sides.,The agreement ends when the lease period ends unless both of you agree in writing to renew it.,Diarise the expiry date and start renewal talks at least one month earlier.,claude_synthetic_batch_3.csv
"The Employer may terminate the Employee's services with immediate effect and without notice if the Employer, in its sole opinion, considers the Employee's performance unsatisfactory.",high,termination,"Sole-opinion, no-notice termination gives the employee no protection.","The employer can end your job immediately, without notice, if it feels your performance is not good enough.",Negotiate a notice period and a written performance review process.,claude_synthetic_batch_3.csv
Either party may terminate the Employee's engagement by giving sixty (60) days' written notice to the other party.,low,termination,"Mutual, reasonable notice period.",You or the employer can end your employment by giving 60 days' written notice.,Check whether the notice period can be shortened by mutual consent.,claude_synthetic_batch_3.csv
"This Agreement shall be terminated by mutual written consent of both parties, and all outstanding obligations shall survive such termination until fulfilled.",low,termination,Mutual consent required; pending obligations continue.,"The agreement can be ended if both sides agree in writing, but unfinished obligations still have to be completed.",Get the mutual termination in writing and signed by both parties.,claude_synthetic_batch_3.csv
"Upon receipt of a notice of termination, the Receiving Party shall immediately cease use of the Confidential Information, and the confidentiality obligations shall survive for a further period of three (3) years.",medium,termination,Confidentiality duties continue for years after the agreement ends.,"Once the agreement is ended, you must stop using the confidential information, and your secrecy duty continues for 3 more years.",Note the survival period and set a reminder for when it ends.,claude_synthetic_batch_3.csv
"Any breach of the confidentiality obligations under this Agreement shall render the Receiving Party liable to pay liquidated damages of Rs 10,00,000 for each such breach.",high,penalty,"Fixed, very large damages per breach regardless of actual loss.","If you break the secrecy rules, you must pay Rs 10,00,000 for every breach, whatever the actual loss.","Ask for damages tied to proven loss, or a lower cap.",claude_synthetic_batch_3.csv
"A fine of Rs 1,000 per day shall be charged to the Tenant for unauthorized parking of any vehicle in the reserved visitor area of the premises.",medium,penalty,Daily fine that keeps growing until the vehicle is moved.,"You will be fined Rs 1,000 every day your vehicle is parked in the visitor area without permission.",Confirm your allotted parking slot in writing.,claude_synthetic_batch_3.csv
Failure to submit the documents required for police verification within seven (7) days of occupation shall attract a penalty of Rs 500 per day of delay.,low,penalty,"Small daily charge with a clear trigger, easy to avoid.","If you are late giving documents for police verification, you will pay Rs 500 for each day of delay after 7 days.",Submit the documents on the first day to avoid any charge.,claude_synthetic_batch_3.csv
"The Employee who fails to complete the assigned project by the agreed deadline shall forfeit the performance bonus for that quarter and pay a penalty of Rs 25,000.",high,penalty,Loses the bonus and pays a fixed sum even for delays that may not be their fault.,"If you miss the project deadline, you lose that quarter's bonus and must also pay Rs 25,000.",Ask that penalties apply only if the delay is your fault.,claude_synthetic_batch_3.csv
"Repeated violation of the society rules by the Tenant shall attract a fine of Rs 2,000 per violation, which the Landlord may deduct from the security deposit.",medium,penalty,Per-violation fine that can be taken straight from the deposit.,"Every time you break the society rules, you can be fined Rs 2,000 and the landlord can take it from your deposit.",Ask for a written list of the society rules before signing.,claude_synthetic_batch_3.csv
